Date,HDFCBANK.NS,ICICIBANK.NS
2018-01-01,432.68902587890625,298.0550231933594
2018-01-02,436.8537292480469,297.4787292480469
2018-01-03,432.2574157714844,302.5696105957031
2018-01-04,433.9489440917969,302.2814025878906
2018-01-05,434.81219482421875,300.5524597167969
2018-01-08,434.11224365234375,301.75311279296875
2018-01-09,434.8355712890625,300.2643127441406
2018-01-10,434.95220947265625,299.68792724609375
2018-01-11,436.9004211425781,297.28662109375
2018-01-12,435.2088928222656,305.16302490234375
2018-01-15,442.780029296875,316.30523681640625
2018-01-16,443.34002685546875,320.9158630371094
2018-01-17,441.0884704589844,329.70477294921875
2018-01-18,451.3078308105469,332.4903259277344
2018-01-19,455.4842224121094,339.6463317871094
2018-01-22,458.08575439453125,337.62921142578125
2018-01-23,455.2742919921875,348.0030212402344
2018-01-24,456.755859375,338.82989501953125
2018-01-25,460.792236328125,346.5622253417969
2018-01-29,466.55517578125,343.5365295410156
2018-01-30,465.5869445800781,339.3101806640625
2018-01-31,467.96673583984375,339.02203369140625
2018-02-01,464.5719909667969,332.5383605957031
2018-02-02,454.5042724609375,321.8764343261719
2018-02-05,446.5364685058594,316.6894836425781
2018-02-06,442.5583801269531,317.6500549316406
2018-02-07,436.9587707519531,319.4270324707031
2018-02-08,438.86029052734375,320.67572021484375
2018-02-09,431.5224304199219,313.8558349609375
2018-02-12,437.8570556640625,313.3756103515625
2018-02-14,439.3736267089844,306.3637390136719
2018-02-15,439.0819396972656,315.6809387207031
2018-02-16,438.3120422363281,308.380859375
2018-02-19,438.21868896484375,307.13214111328125
2018-02-20,434.7189025878906,304.7307434082031
2018-02-21,433.36566162109375,306.60382080078125
2018-02-22,432.3857421875,305.7873840332031
2018-02-23,438.7669677734375,310.0137023925781
2018-02-26,445.99981689453125,314.1440734863281
2018-02-27,443.9000549316406,309.4374084472656
2018-02-28,439.6185607910156,300.88861083984375
2018-03-01,437.3204040527344,292.9161376953125
2018-03-05,436.29376220703125,291.3793029785156
2018-03-06,430.7641906738281,283.4068298339844
2018-03-07,427.5793151855469,275.3863525390625
2018-03-08,432.30401611328125,285.2318420410156
2018-03-09,431.88409423828125,281.14959716796875
2018-03-12,435.6638488769531,288.78582763671875
2018-03-13,434.0306091308594,292.33984375
2018-03-14,435.022216796875,293.9727478027344
2018-03-15,438.8253173828125,289.5543518066406
2018-03-16,432.3389892578125,286.33648681640625
2018-03-19,430.99749755859375,282.9265441894531
2018-03-20,429.1893005371094,280.4771728515625
2018-03-21,433.7156066894531,277.7876892089844
2018-03-22,435.78045654296875,272.0724792480469
2018-03-23,429.6675720214844,264.6763000488281
2018-03-26,441.7767639160156,270.5356140136719
2018-03-27,441.5783996582031,272.69683837890625
2018-03-28,440.06182861328125,267.3658142089844
2018-04-02,450.5845642089844,251.51695251464844
2018-04-03,447.0147705078125,259.3933410644531
2018-04-04,439.3969421386719,258.048583984375
2018-04-05,445.3815612792969,267.6540222167969
2018-04-06,448.76470947265625,269.5750732421875
2018-04-09,452.4161071777344,269.7672119140625
2018-04-10,448.1697082519531,277.4034423828125
2018-04-11,447.7030334472656,273.3211669921875
2018-04-12,450.0245666503906,275.43438720703125
2018-04-13,449.1379699707031,276.8751220703125
2018-04-16,453.1276550292969,276.2508239746094
2018-04-17,454.6209716796875,280.2370910644531
2018-04-18,450.91119384765625,278.6041259765625
2018-04-19,452.4044189453125,278.17193603515625
2018-04-20,456.34747314453125,271.015869140625
2018-04-23,451.6461486816406,268.3743896484375
2018-04-24,451.4712219238281,272.8889465332031
2018-04-25,448.1463928222656,267.89410400390625
2018-04-26,450.3628845214844,267.84613037109375
2018-04-27,448.76470947265625,276.53900146484375
2018-04-30,453.6410217285156,272.9850158691406
2018-05-02,459.5206604003906,265.9730529785156
2018-05-03,459.1473388671875,270.7757873535156
2018-05-04,463.9537048339844,271.6883544921875
2018-05-07,461.3638916015625,278.36395263671875
2018-05-08,458.9490661621094,297.0945129394531
2018-05-09,461.59716796875,294.6931457519531
2018-05-10,464.93365478515625,294.7411804199219
2018-05-11,469.3782958984375,298.6794128417969
2018-05-14,471.7115478515625,297.86297607421875
2018-05-15,475.45635986328125,296.0859680175781
2018-05-16,472.0848083496094,285.52001953125
2018-05-17,473.1114501953125,284.3193664550781
2018-05-18,469.4716796875,274.8100280761719
2018-05-21,465.0153503417969,277.88372802734375
2018-05-22,464.28033447265625,278.84429931640625
2018-05-23,459.05401611328125,280.52520751953125
2018-05-24,463.37042236328125,285.9522705078125
2018-05-25,468.6667175292969,283.9831237792969
2018-05-28,476.4829406738281,287.4411315917969
2018-05-29,474.2430114746094,278.4601135253906
2018-05-30,477.91778564453125,273.6573486328125
2018-05-31,502.3614196777344,274.5218200683594
2018-06-01,495.5871887207031,277.88372802734375
2018-06-04,480.4654846191406,275.43438720703125
2018-06-05,484.5511779785156,272.8889465332031
2018-06-06,483.0835876464844,272.69683837890625
2018-06-07,484.22235107421875,279.42059326171875
2018-06-08,481.20513916015625,276.8751220703125
2018-06-11,479.5497741699219,275.0981750488281
2018-06-12,479.9136962890625,276.0586853027344
2018-06-13,477.00201416015625,279.27655029296875
2018-06-14,478.399169921875,273.5132751464844
2018-06-15,476.5676574707031,271.35205078125
2018-06-18,474.1139221191406,281.43768310546875
2018-06-19,475.13531494140625,281.24560546875
2018-06-20,482.8017578125,281.6298828125
2018-06-21,483.142333984375,286.1924133300781
2018-06-22,489.1886901855469,288.78582763671875
2018-06-25,491.912353515625,278.2679138183594
2018-06-26,491.6189270019531,276.7311096191406
