Date,INFY.NS,TCS.NS
2018-01-01,415.2441711425781,1103.4735107421875
2018-01-02,413.6974182128906,1097.466796875
2018-01-03,410.3225402832031,1100.5745849609375
2018-01-04,407.9521789550781,1108.269775390625
2018-01-05,406.5861511230469,1121.6590576171875
2018-01-08,416.24859619140625,1132.1697998046875
2018-01-09,418.3780517578125,1129.9169921875
2018-01-10,422.7572021484375,1170.6258544921875
2018-01-11,432.2187805175781,1163.91064453125
2018-01-12,433.2834167480469,1158.0086669921875
2018-01-15,434.36822509765625,1145.3919677734375
2018-01-16,451.1216735839844,1189.0823974609375
2018-01-17,462.8734130859375,1204.9737548828125
2018-01-18,463.11444091796875,1217.1741943359375
2018-01-19,459.3982238769531,1234.316650390625
2018-01-22,462.02972412109375,1302.9249267578125
2018-01-23,472.91754150390625,1296.904296875
2018-01-24,476.4129638671875,1327.2576904296875
2018-01-25,472.2345275878906,1304.8690185546875
2018-01-29,475.247802734375,1337.3961181640625
2018-01-30,470.3262023925781,1318.164306640625
2018-01-31,462.1301574707031,1301.231689453125
2018-02-01,459.8602600097656,1312.2060546875
2018-02-02,459.31793212890625,1318.49853515625
2018-02-05,457.28887939453125,1297.4058837890625
2018-02-06,445.0551452636719,1253.1099853515625
2018-02-07,445.5775451660156,1235.466552734375
2018-02-08,455.7019348144531,1243.47265625
2018-02-09,445.6177062988281,1242.4276123046875
2018-02-12,443.0664978027344,1240.5882568359375
2018-02-14,441.03759765625,1217.3843994140625
2018-02-15,447.7469177246094,1223.25830078125
2018-02-16,453.2109375,1226.2685546875
2018-02-19,454.69757080078125,1222.3177490234375
2018-02-20,456.78662109375,1231.160400390625
2018-02-21,460.9851379394531,1271.9447021484375
2018-02-22,466.3487243652344,1275.247314453125
2018-02-23,464.29986572265625,1285.95068359375
2018-02-26,457.44970703125,1267.5128173828125
2018-02-27,462.11004638671875,1271.9652099609375
2018-02-28,471.1095886230469,1268.913818359375
2018-03-01,466.3487243652344,1270.0211181640625
2018-03-05,464.40020751953125,1298.5135498046875
2018-03-06,462.57220458984375,1272.15380859375
2018-03-07,459.6592712402344,1265.7362060546875
2018-03-08,464.7015380859375,1255.9111328125
2018-03-09,467.4134521484375,1268.51611328125
2018-03-12,476.3929138183594,1276.0628662109375
2018-03-13,475.6094665527344,1206.9320068359375
2018-03-14,474.4041748046875,1206.9737548828125
2018-03-15,475.08721923828125,1199.7825927734375
2018-03-16,470.8284912109375,1181.3868408203125
2018-03-19,460.72393798828125,1183.6026611328125
2018-03-20,467.87554931640625,1197.7550048828125
2018-03-21,469.0606384277344,1194.3685302734375
2018-03-22,466.5697021484375,1183.74951171875
2018-03-23,469.10076904296875,1178.2303466796875
2018-03-26,464.1390686035156,1177.7496337890625
2018-03-27,463.63690185546875,1190.5849609375
2018-03-28,454.7176208496094,1191.1912841796875
2018-04-02,456.8670959472656,1216.4849853515625
2018-04-03,458.1928405761719,1217.1544189453125
2018-04-04,451.6642150878906,1217.0081787109375
2018-04-05,461.0455017089844,1236.678955078125
2018-04-06,452.7892150878906,1233.4810791015625
2018-04-09,446.46142578125,1222.443115234375
2018-04-10,447.3251647949219,1228.171142578125
2018-04-11,451.684326171875,1260.1756591796875
2018-04-12,467.0919494628906,1312.4781494140625
2018-04-13,470.6475524902344,1318.351806640625
2018-04-16,455.2801208496094,1332.713623046875
2018-04-17,452.06591796875,1323.912841796875
2018-04-18,452.3672790527344,1320.7769775390625
2018-04-19,455.1395263671875,1334.1767578125
2018-04-20,473.46002197265625,1422.5181884765625
2018-04-23,477.17620849609375,1425.110595703125
2018-04-24,463.83770751953125,1415.4945068359375
2018-04-25,466.18798828125,1450.864501953125
2018-04-26,472.6564025878906,1479.7122802734375
2018-04-27,476.1718444824219,1443.2135009765625
2018-04-30,481.91717529296875,1476.723388671875
2018-05-02,480.9328918457031,1463.1983642578125
2018-05-03,475.1072082519531,1455.7144775390625
2018-05-04,471.310546875,1455.2547607421875
2018-05-07,475.2879333496094,1430.253173828125
2018-05-08,468.2772216796875,1438.7191162109375
2018-05-09,470.3461608886719,1458.8292236328125
2018-05-10,469.26153564453125,1442.920654296875
2018-05-11,474.3840637207031,1445.3043212890625
2018-05-14,477.8192138671875,1435.5213623046875
2018-05-15,479.92840576171875,1455.9442138671875
2018-05-16,478.0802307128906,1460.75244140625
2018-05-17,475.247802734375,1459.87451171875
2018-05-18,475.3682556152344,1464.15966796875
2018-05-21,473.8818359375,1487.029052734375
2018-05-22,479.6471252441406,1467.0238037109375
2018-05-23,476.0513916015625,1461.254150390625
2018-05-24,490.5549621582031,1506.6583251953125
2018-05-25,493.48797607421875,1499.1746826171875
2018-05-28,487.9035339355469,1464.15966796875
2018-05-29,488.82745361328125,1473.1278076171875
2018-05-30,486.81866455078125,1469.197509765625
2018-05-31,494.8941650390625,1467.9332275390625
2018-06-01,490.47479248046875,1460.6822509765625
2018-06-04,497.9476013183594,1470.630859375
2018-06-05,490.49481201171875,1451.5341796875
2018-06-06,497.1641540527344,1455.033203125
2018-06-07,503.1905822753906,1463.2957763671875
2018-06-08,506.2440490722656,1473.0338134765625
2018-06-11,507.1881408691406,1475.225830078125
2018-06-12,505.621337890625,1501.6156005859375
2018-06-13,512.1699829101562,1537.955078125
2018-06-14,510.2764587402344,1507.138916015625
2018-06-15,527.379150390625,1551.403076171875
2018-06-18,521.6782836914062,1542.0863037109375
2018-06-19,511.0586853027344,1538.2923583984375
2018-06-20,511.6968078613281,1536.5640869140625
2018-06-21,513.0961303710938,1533.9503173828125
2018-06-22,513.63134765625,1525.8984375
