Date,ONGC.NS,RELIANCE.NS
2018-01-01,123.11360168457031,401.86480712890625
2018-01-02,125.99381256103516,402.4831848144531
2018-01-03,123.81766510009766,404.0955505371094
2018-01-04,127.68994903564453,406.5250549316406
2018-01-05,127.01791381835938,407.82818603515625
2018-01-08,126.34585571289062,410.1693420410156
2018-01-09,126.08982849121094,415.64678955078125
2018-01-10,126.66588592529297,416.2652282714844
2018-01-11,126.66588592529297,414.2332763671875
2018-01-12,128.49002075195312,419.2027282714844
2018-01-15,125.83381652832031,419.2689514160156
2018-01-16,126.21782684326172,407.6956787109375
2018-01-17,125.25772857666016,408.3803405761719
2018-01-18,124.23367309570312,406.260009765625
2018-01-19,123.97769165039062,411.38409423828125
2018-01-22,128.45802307128906,429.1417236328125
2018-01-23,132.71437072753906,434.33203125
2018-01-24,134.9545440673828,426.86676025390625
2018-01-25,133.45040893554688,426.6679992675781
2018-01-29,131.3062286376953,426.0495910644531
2018-01-30,131.08221435546875,419.8211669921875
2018-01-31,130.2181396484375,424.63604736328125
2018-02-01,124.74571228027344,416.9278564453125
2018-02-02,123.3376235961914,399.47943115234375
2018-02-05,120.80941772460938,398.50762939453125
2018-02-06,118.69723510742188,394.0682678222656
2018-02-07,121.60945129394531,395.084228515625
2018-02-08,120.77742767333984,399.56781005859375
2018-02-09,119.91334533691406,396.60821533203125
2018-02-12,122.2495346069336,404.4047546386719
2018-02-14,118.88929748535156,412.42218017578125
2018-02-15,120.52142333984375,413.3056640625
2018-02-16,119.62529754638672,406.9668273925781
2018-02-19,118.60124969482422,409.48468017578125
2018-02-20,119.68932342529297,406.87841796875
2018-02-21,121.70549774169922,410.5227355957031
2018-02-22,119.11328887939453,408.3140869140625
2018-02-23,121.48147583007812,412.6872253417969
2018-02-26,121.83352661132812,414.6529235839844
2018-02-27,120.64942169189453,419.8653564453125
2018-02-28,120.52142333984375,421.65435791015625
2018-03-01,121.41746520996094,418.93768310546875
2018-03-05,118.76126098632812,408.2036437988281
2018-03-06,118.6652603149414,402.3507080078125
2018-03-07,116.16905975341797,393.03021240234375
2018-03-08,115.30500030517578,402.61572265625
2018-03-09,115.14497375488281,403.3446350097656
2018-03-12,117.67317962646484,410.9423828125
2018-03-13,118.96912384033203,411.6270446777344
2018-03-14,117.02520751953125,410.39019775390625
2018-03-15,116.830810546875,402.7703552246094
2018-03-16,114.78968811035156,397.58001708984375
2018-03-19,114.59527587890625,395.57012939453125
2018-03-20,112.81329345703125,393.05224609375
2018-03-21,113.75291442871094,396.1885681152344
2018-03-22,115.92364501953125,401.1580505371094
2018-03-23,114.95165252685547,394.8633728027344
2018-03-26,115.92364501953125,398.0438232421875
2018-03-27,116.37720489501953,397.46954345703125
2018-03-28,115.21086120605469,389.9159851074219
2018-04-02,116.60401153564453,394.4437255859375
2018-04-03,115.01647186279297,397.359130859375
2018-04-04,113.65567779541016,395.3050842285156
2018-04-05,114.9840316772461,401.18011474609375
2018-04-06,114.66006469726562,402.4169921875
2018-04-09,115.5996322631836,404.6256408691406
2018-04-10,116.7659912109375,405.0894470214844
2018-04-11,118.02957153320312,411.185302734375
2018-04-12,117.7704086303711,410.235595703125
2018-04-13,118.25634765625,414.7191467285156
2018-04-16,117.60836029052734,413.9240417480469
2018-04-17,117.15480041503906,417.1045227050781
2018-04-18,117.99718475341797,414.3437194824219
2018-04-19,119.19591522216797,416.2431640625
2018-04-20,118.15914154052734,409.8822326660156
2018-04-23,117.31678771972656,413.460205078125
2018-04-24,118.35354614257812,428.5011901855469
2018-04-25,116.27999114990234,428.70001220703125
2018-04-26,117.15480041503906,430.84234619140625
2018-04-27,117.09001159667969,440.09661865234375
2018-04-30,116.9927978515625,425.51947021484375
2018-05-02,116.6688003540039,429.6717529296875
2018-05-03,117.34921264648438,424.7685852050781
2018-05-04,116.79839324951172,421.3893737792969
2018-05-07,119.16354370117188,428.92083740234375
2018-05-08,118.64515686035156,427.19805908203125
2018-05-09,118.48314666748047,431.4386901855469
2018-05-10,121.98223114013672,433.4044189453125
2018-05-11,121.49626922607422,436.982421875
2018-05-14,121.33425903320312,435.81182861328125
2018-05-15,122.4682388305664,432.4326171875
2018-05-16,120.65387725830078,422.361083984375
2018-05-17,122.20903015136719,417.5904235839844
2018-05-18,119.90872192382812,412.510498046875
2018-05-21,120.36226654052734,411.4062194824219
2018-05-22,120.00590515136719,409.374267578125
2018-05-23,113.65567779541016,402.9691467285156
2018-05-24,108.666259765625,404.55938720703125
2018-05-25,113.68810272216797,406.74591064453125
2018-05-28,113.78528594970703,406.5692138671875
2018-05-29,113.75291442871094,405.26611328125
2018-05-30,112.74854278564453,404.6697998046875
2018-05-31,115.27565002441406,406.9888610839844
2018-06-01,112.23013305664062,411.0528259277344
2018-06-04,110.8694076538086,415.6026306152344
2018-06-05,110.9341812133789,418.6064147949219
2018-06-06,110.35099029541016,421.5881042480469
2018-06-07,111.87377166748047,429.075439453125
2018-06-08,112.55413818359375,434.81793212890625
2018-06-11,112.29492950439453,434.0670166015625
2018-06-12,111.06378936767578,440.47210693359375
2018-06-13,110.15662384033203,442.8352966308594
2018-06-14,109.18465423583984,445.2427978515625
2018-06-15,107.20829772949219,448.0035705566406
2018-06-18,106.65750885009766,448.5999450683594
2018-06-19,106.7870864868164,439.9862060546875
2018-06-20,105.45874786376953,450.23431396484375
2018-06-21,103.48240661621094,455.8443298339844
2018-06-22,103.3852310180664,447.252685546875
2018-06-25,101.50606536865234,443.69671630859375
2018-06-26,102.57524108886719,432.4326171875
2018-06-27,101.24688720703125,429.4979248046875
